Código,Título
6239,Orfanatos y otras residencias de asistencia socialT 
6241,Servicios de orientación y trabajo socialT 
6242,"Servicios comunitarios de alimentación, refugio y emergenciaT "
6243,"Servicios de capacitación para el trabajo para personas desempleadas, subempleadas o con discapacidadT "
6244,GuarderíasT 
7111,Compañías y grupos de espectáculos artísticos y culturalesT 
7112,Deportistas y equipos deportivos profesionalesT 
7113,"Promotores de espectáculos artísticos, culturales, deportivos y similaresT "
7114,"Agentes y representantes de artistas, deportistas y similaresT "
7115,"Artistas, escritores y técnicos independientesT "
7121,"Museos, sitios históricos, zoológicos y similaresT "
7131,Parques con instalaciones recreativas y casas de juegos electrónicosT 
7132,"Casinos, loterías y otros juegos de azarT "
7139,Otros servicios recreativosT 
7211,"Hoteles, moteles y similaresT "
7212,Campamentos y albergues recreativosT 
7213,"Pensiones y casas de huéspedes, y departamentos y casas amueblados con servicios de hoteleríaT "
7223,Servicios de preparación de alimentos por encargoT 
7224,"Centros nocturnos, bares, cantinas y similaresT "
7225,Servicios de preparación de alimentos y bebidas alcohólicas y no alcohólicasT 
8111,Reparación y mantenimiento de automóviles y camionesT 
8112,Reparación y mantenimiento de equipo electrónico y de equipo de precisiónT 
8113,"Reparación y mantenimiento de maquinaria y equipo agropecuario, industrial, comercial y de serviciosT "
8114,Reparación y mantenimiento de artículos para el hogar y personalesT 
8121,"Salones y clínicas de belleza, baños públicos y bolerías "
8122,Lavanderías y tintorerías 
8123,Servicios funerarios y administración de cementerios 
8124,Estacionamientos y pensiones para vehículos automotores 
8129,Servicios de revelado e impresión de fotografías y otros servicios personales 
8131,"Asociaciones y organizaciones comerciales, laborales, profesionales y recreativas "
8132,"Asociaciones y organizaciones religiosas, políticas y civiles "
8141,Hogares con empleados domésticosT 
9311,Órganos legislativos 
9312,Administración pública en general 
9313,Regulación y fomento del desarrollo económico 
9314,Impartición de justicia y mantenimiento de la seguridad y el orden público 
9315,Regulación y fomento de actividades para mejorar y preservar el medio ambiente 
9316,Actividades administrativas de instituciones de bienestar social 
9317,Relaciones exteriores 
9318,Actividades de seguridad nacional 
9321,Organismos internacionales y extraterritoriales 
